,State,Adults with Long COVID,Adults Vaccinated,Adults Hispanic/ Latino (All Race),Adults American Indian and Alaskan Native,Adults Asian,Adults Black,Adults Native Hawaiian and Other Pacific Islander,Adults White,Adults with disability,Adults with hearing disability,Adults with vision disability,Adults with cognitive disability,Adults with ambulatory disability,Adults with self-care disability,Adults with independent living disability
41,South Dakota,15.5,78.3,4.0,7.0,2.0,2.0,0.0,84.0,15.56,5.3,2.33,4.8,7.46,2.35,5.05
42,Tennessee,18.0,66.2,5.0,0.0,2.0,16.0,0.0,76.0,17.73,5.3,3.69,6.51,9.54,3.12,6.62
43,Texas,16.9,73.9,37.0,0.0,5.0,12.0,0.0,44.0,14.55,4.2,3.26,5.04,7.51,2.68,5.17
44,Utah,18.0,79.8,13.0,1.0,3.0,1.0,1.0,79.0,12.97,4.1,2.3,5.42,5.25,1.74,4.45
45,Vermont,12.1,91.4,2.0,0.0,2.0,1.0,0.0,93.0,15.71,5.43,2.31,6.15,6.53,2.39,5.46
46,Virginia,13.5,85.3,9.0,0.0,7.0,19.0,0.0,63.0,14.61,4.25,2.87,4.96,7.59,2.73,5.37
47,Washington,14.0,85.4,11.0,1.0,10.0,4.0,1.0,69.0,15.53,4.87,2.57,6.1,7.21,2.63,5.63
48,West Virginia,17.6,68.9,2.0,0.0,1.0,4.0,0.0,92.0,22.12,6.77,4.05,8.04,12.32,4.63,8.49
49,Wisconsin,16.6,77.5,6.0,1.0,3.0,6.0,0.0,83.0,14.07,4.36,2.23,5.02,6.55,2.47,5.12
50,Wyoming,17.4,63.2,9.0,2.0,1.0,1.0,0.0,85.0,16.78,6.28,3.22,5.65,7.52,2.36,5.33
